Verb,Meaning,URL
обойти,"to walk around, avoid",obkhodit_oboyti.htm
обрадоваться,"to be glad, happy",radovatsa_obradovatsa.htm
образовать,"to educate; to form, generate, make up",obrazovivat_obrazovat.htm
образовывать,"to educate; to form, generate, make up",obrazovivat_obrazovat.htm
обратить,to turn,obraschat_obratit.htm
обратиться,"to appeal, address",obraschatsa_obratitsa.htm
обращать,to turn,obraschat_obratit.htm
обращаться,"to appeal, address",obraschatsa_obratitsa.htm
обреза́ть,"to cut, trim, circumcise",obrezat_obrezat.htm
обре́зать,"to cut, trim, circumcise",obrezat_obrezat.htm
обсудить,to discuss,obsuzhdat_obsudit.htm
обсуждать,to discuss,obsuzhdat_obsudit.htm
обучать,"to teach, instruct, train",obuchat_obuchit.htm
обучить,"to teach, instruct, train",obuchat_obuchit.htm
обходить,"to walk around, avoid",obkhodit_oboyti.htm
общаться,to communicate,obschatsa_poobschatsa.htm
объявить,"to declare, announce",obyavlyat_obyavit.htm
объявлять,"to declare, announce",obyavlyat_obyavit.htm
объяснить,to explain,obyasnyat_obyasnit.htm
